땀	妾
땁	姉
땃	始
땄	姐
땅	姑
땋	姓
때	委
땍	姜
땐	姥
땔	姦
땜	姪
땝	姫
땟	姶
땠	姻
땡	姿
떠	威
떡	娃
떤	娘
떨	娠
떪	娩
떫	娯
떰	娼
떱	婁
떳	婆
떴	婚
떵	婦
떻	婿
떼	媒
떽	媚
뗀	媛
뗄	嫁
뗌	嫉
뗍	嫌
뗏	嫡
뗐	嬉
뗑	嬢
뗘	嬬
뗬	嬰
또	子
똑	孔
똔	字
똘	存
똥	孜
똬	孝
똴	孟
뙈	季
뙤	孤
뙨	学
뚜	孫
뚝	學
뚠	宅
뚤	宇
뚫	守
뚬	安
뚱	宋
뛔	完
뛰	宍
뛴	宏
뛸	宕
뜀	宗
뜁	官
뜅	宙
뜨	定
뜩	宛
뜬	宜
뜯	宝
뜰	実
뜸	客
뜹	宣
뜻	室
띄	宥
띈	宮
띌	宰
띔	害
띕	宴
띠	宵
띤	家
띨	容
띰	宿
띱	寂
띳	寄
띵	寅
라	密
락	富
란	寒
랄	寓
람	寛
랍	寝
랏	察
랐	寡
랑	實
랒	寧
랖	審
랗	寮
래	寵
랙	寸
랜	寺
랠	対
램	寿
랩	封
랫	専
랬	射
랭	将
랴	尉
략	尊
랸	尋
럇	導
량	小
러	少
럭	尖
런	尚
럴	尤
럼	尭
럽	就
럿	尺
렀	尻
렁	尼
렇	尽
레	尾
렉	尿
렌	局
렐	屁
렘	居
렙	屈
렛	届
렝	屋
려	屍
력	屑
련	展
렬	属
렴	屠
렵	屡
렷	層
렸	履
령	屯
례	山
롄	岐
롑	岡
롓	岨
로	岩
록	岬
론	岱
롤	岳
롬	岸
롭	峙
롯	峠
롱	峡
롸	峨
롼	峯
뢍	峰
뢨	島
뢰	峻
뢴	崇
뢸	崎
룀	崔
룁	崖
룃	崚
룅	崩
료	嵌
룐	嵐
룔	嵜
룝	嵩
룟	嵯
룡	嶋
루	嶌
룩	嶺
룬	巌
룰	川
룸	州
룹	巡
룻	巣
룽	工
뤄	左
뤘	巧
뤠	巨
뤼	巫
뤽	差
륀	己
륄	巳
륌	巴
륏	巷
륑	巻
류	巽
륙	巾
륜	市
률	布
륨	帆
륩	希
륫	帖
륭	帝
르	帥
륵	師
른	席
를	帯
름	帰
릅	帳
릇	常
릉	帽
릊	幅
릍	幇
릎	幌
리	幕
릭	幡
린	幣
릴	干
림	平
립	年
릿	幸
링	幹
마	幻
막	幼
만	幽
많	幾
맏	庁
말	広
맑	庄
맒	庇
맘	床
맙	序
맛	底
망	庖
맞	店
맡	庚
맣	府
매	度
맥	座
맨	庫
맬	庭
맴	庵
맵	庶
맷	康
맸	庸
맹	廃
맺	廉
먀	廊
먁	廓
먈	廖
먕	廟
머	廠
먹	廣
먼	延
멀	廷
멂	建
멈	廻
멉	廼
멋	廿
멍	弁
멎	弄
멓	弊
메	弌
멕	式
멘	弐
멜	弓
멤	弔
멥	引
멧	弗
멨	弘
멩	弛
며	弟
멱	弥
면	弦
멸	弧
몃	弱
몄	張
명	強
몇	弼
몌	弾
모	彊
목	当
몫	彗
몬	形
몰	彥
몲	彦
몸	彩
몹	彪
못	彫
몽	彬
뫄	彰
뫈	影
뫘	役
뫙	彼
뫼	往
묀	征
묄	径
묍	待
묏	律
묑	後
묘	徐
묜	徒
묠	従
묩	得
묫	徠
무	御
묵	復
묶	循
문	微
묻	徳
물	徴
묽	德
묾	徹
뭄	徽
뭅	心
뭇	必
뭉	忌
뭍	忍
뭏	志
뭐	忘
뭔	忙
뭘	応
뭡	忠
뭣	快
뭬	念
뮈	忽
뮌	怒
뮐	怖
뮤	怜
뮨	思
뮬	怠
뮴	急
뮷	性
므	怨
믄	怪
믈	怯
믐	恋
믓	恐
미	恒
믹	恕
민	恢
믿	恥
밀	恨
밂	恩
밈	恭
밉	息
밋	恰
밌	恵
밍	悉
및	悌
밑	悔
바	悟
박	悠
밖	患
밗	悦
반	悩
받	悪
발	悲
밝	悶
밞	悼
밟	情
밤	惇
밥	惑
밧	惚
방	惜
밭	惟
배	惠
백	惣
밴	惨
밸	惰
뱀	想
뱁	惹
뱃	惺
뱄	愁
뱅	愈
뱉	愉
뱌	意
뱍	愚
뱐	愛
뱝	感
버	慈
벅	態
번	慌
벋	慎
벌	慕
벎	慢
범	慣
법	慧
벗	慨
벙	慮
벚	慰
베	慶
벡	慾
벤	憂
벧	憎
벨	憐
벰	憑
벱	憤
벳	憧
벴	憩
벵	憲
벼	憶
벽	憾
변	懇
별	懐
볍	懲
볏	懸
볐	戊
병	戌
볕	戎
볘	成
볜	我
보	戒
복	或
볶	戚
본	戟
볼	戦
봄	戯
봅	戴
봇	戸
봉	戻
봐	房
봔	所
봤	扇
봬	扉
뵀	手
뵈	才
뵉	打
뵌	払
뵐	托
뵘	扮
뵙	扱
뵤	扶
뵨	批
부	承
북	技
분	抄
붇	把
불	抑
붉	投
붊	抗
붐	折
붑	抜
붓	択
붕	披
붙	抱
붚	抵
붜	抹
붤	押
붰	抽
붸	担
뷔	拍
뷕	拐
뷘	拒
뷜	拓
뷩	拘
뷰	拙
뷴	招
뷸	拝
븀	拠
븃	拡
븅	括
브	拭
븍	拳
븐	拶
블	拷
븜	拾
븝	持
븟	指
비	按
빅	挑
빈	挙
빌	挟
빎	挨
빔	挫
빕	振
빗	挺
빙	挽
빚	挿
빛	捉
빠	捌
빡	捕
빤	捗
빨	捜
빪	捧
빰	捨
빱	据
빳	捲
빴	捷
빵	捺
빻	捻
빼	掃
빽	授
뺀	掌
뺄	排
뺌	掘
뺍	掛
뺏	掠
뺐	採
뺑	探
뺘	接
뺙	控
뺨	推
뻐	掩
뻑	措
뻔	掬
뻗	掲
뻘	掴
뻠	掻
뻣	揃
뻤	揉
뻥	描
뻬	提
뼁	揖
뼈	揚
뼉	換
뼘	握
뼙	揮
뼛	援
뼜	揺
뼝	損
뽀	搬
뽁	搭
뽄	携
뽈	搾
뽐	摂
뽑	摘
뽕	摩
뾔	摯
뾰	摸
뿅	摺
뿌	撃
뿍	撒
뿐	撚
뿔	撞
뿜	撤
뿟	撫
뿡	播
쀼	撮
쁑	撰
쁘	撲
쁜	撹
쁠	擁
쁨	操
쁩	擢
삐	擦
삑	擬
삔	擾
삘	攘
삠	攝
삡	支
삣	改
삥	攻
사	放
삭	政
삯	故
산	敏
삳	救
살	敗
삵	教
삶	敢
삼	散
삽	敦
삿	敬
